task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	eb/95f971	2469547	NFCORE_SAREK:PREPARE_INTERVALS:CREATE_INTERVALS_BED (wgs_calling_regions_noseconds.hg38.bed)	COMPLETED	0	2025-07-11 11:41:24.973	1.2s	0ms	112.5%	2.9 MB	11 MB	64.6 KB	9.1 KB
10	2b/cd0c08	2470752	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_COMBINED (wgs_calling_regions_noseconds.hg38)	COMPLETED	0	2025-07-11 11:41:53.685	365ms	1s	44.9%	3.4 MB	8.7 MB	129.5 KB	12.1 KB
31	37/7b06b0	2470825	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr4_190173122-190204555)	COMPLETED	0	2025-07-11 11:41:53.718	379ms	1s	31.9%	3.1 MB	4.3 MB	118.8 KB	3.9 KB
30	95/b4f067	2470684	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr20_36314720-64334167)	COMPLETED	0	2025-07-11 11:41:53.627	299ms	0ms	68.6%	3.8 MB	8.7 MB	120.1 KB	4.3 KB
24	54/f0f6bd	2470787	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr4_10001-1429358)	COMPLETED	0	2025-07-11 11:41:53.701	307ms	0ms	55.2%	3.6 MB	8.7 MB	118.6 KB	3.7 KB
29	43/28dcb2	2470727	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr8_44033745-45877265)	COMPLETED	0	2025-07-11 11:41:53.671	302ms	0ms	56.5%	3.1 MB	5.8 MB	118.4 KB	3.6 KB
32	2d/0aa9df	2470710	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr5_139453660-155760324)	COMPLETED	0	2025-07-11 11:41:53.659	319ms	0ms	59.3%	3.4 MB	6.8 MB	118.5 KB	3.7 KB
22	43/c2881e	2470692	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr2_16146120-32867130)	COMPLETED	0	2025-07-11 11:41:53.643	286ms	0ms	58.1%	5.2 MB	9.6 MB	118.6 KB	3.7 KB
25	84/1fac69	2470869	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr12_37235253-37240944)	COMPLETED	0	2025-07-11 11:41:53.733	388ms	1s	52.2%	2.9 MB	4.3 MB	118.6 KB	3.7 KB
28	9d/1c5528	2470890	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr10_39590436-39593013)	COMPLETED	0	2025-07-11 11:41:53.739	399ms	0ms	31.3%	3.1 MB	4.3 MB	118.7 KB	3.7 KB
33	9e/d7f05b	2471005	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr6_95070791-167591393)	COMPLETED	0	2025-07-11 11:41:53.755	394ms	0ms	44.9%	3.1 MB	4.3 MB	118.4 KB	3.6 KB
